"Product Name","Price","Unity","Location","Time","Store Name","Delivery"
"PROMO PC + ECRAN + CLAVIER + SOURIS + CLé WIFI","33 500","DA","Dar el beida, 16","il y a environ 12 heures","Informatics","Paiement à la livraison"
"Modem Routeur WIFI ADSL D-LINK 2750U","4 500","DA","Bab ezzouar, 16","il y a environ 12 heures","Auvigha Tech","Paiement à la livraison"
"IMPRIMANTE MULTIFONCTION LASER MONOCHROME HP LASERJET M236D (9YF94A)","","","Douera, 16","il y a environ 12 heures","CCS Informatique",""
"Compteuse de billet professionnelle pour Banque","298 000","DA","Dar el beida, 16","il y a environ 12 heures","Snc BIGLOBE","Paiement à la livraison"
"TONER HP ORIGINALE HP 307 BLEU","","","Rouiba, 16","il y a environ 12 heures","Mz Office",""
"CD DVD - VERBATIM Original Prix de GROS","33","DA","Bab ezzouar, 16","il y a 1 jour","",""
"Licence Microsoft office 2016, 2019,2021 Pro Plus","1","DA","Bouzareah, 16","il y a 1 jour","",""
"TAMBOUR XEROX ORIGINAL POUR IMP WORKCENTRE 5016 5020","","","Rouiba, 16","il y a environ 12 heures","Mz Office",""
"TONER LEXMARK ORIGINAL POUR IMP  E230-E232-E240-E330-E332-E340","","","Rouiba, 16","il y a environ 12 heures","Mz Office",""
"XIAOMI WATCH KIESLECT CALLING KS SMARTWATCH","13 500","DA","Oran, 31","il y a environ 12 heures","Eurl Info Oran",""
"PHOTOCOPIEUR CANON IMAGERUNNER 2425I MULTIFONCTION A3 MONOCHROME","257 500","DA","Draria, 16","il y a environ 12 heures","DIGITAL WORLD TECHNOLOGY","Paiement à la livraison"
"Clavier + Souris usb Logitech MK120 Bundle","3 700","DA","Blida, 9","il y a environ 12 heures","MacWay Informatique",""
"Imprimante 3D printer DMS DP5 en Metal","","","Cheraga, 16","il y a 2 jours","",""
"Flash disque hp adata métal","780","DA","Dar el beida, 16","il y a 2 jours","",""
"PROMO Poly - Kit Realpresence 8800 Trio + EagleEye Mini MS + Visual+","305 000","DA","Dely brahim, 16","il y a environ 12 heures","TEKNOSYS",""
"GESTION INVENTAIRE / GESTION INVENTAIRE PATRIMOINE / GESTION INVENTAIRE  IMMOBIL...","1","DA","Birkhadem, 16","il y a environ 12 heures","Code Barre Center",""
"HP Z4 G4 Workstation Windows 10 Pro 64/Linux Intel Xeon","360 000","DA","Cheraga, 16","il y a environ 12 heures","SARL CH INFORMATIQUE","Paiement à la livraison"
"Telephone ip Cisco 7960","","","Tipaza, 42","il y a environ 12 heures","NSIcontact",""
"Ip Phone Cisco 7965 (Ecran Couleur)","","","Tipaza, 42","il y a environ 12 heures","NSIcontact",""
"Kaspersky Anti-virus Officiel","1 000","DA","Ain naadja, 16","il y a 2 jours","",""
"switch TENDA teg1016D","8 000","DA","Bourouba, 16","il y a 2 jours","",""
"Configuration Téléphonie IP Cisco","","","Kolea, 42","il y a environ 12 heures","NSIcontact",""
"Epson 101 - Bouteille d'encre Epson EcoTank d'origine","9 000","DA","Hussein dey, 16","il y a environ 12 heures","ADMIN Informatique","Paiement à la livraison"
"UGREEN Lecteur de boîtier SSD NVMe M.2 Enclosure, 10 Gbit/s USB C 3.2 Gen2, comp...","8 900","DA","Hussein dey, 16","il y a environ 12 heures","ADMIN Informatique","Paiement à la livraison"
"CLAVIER MICROSOFT SIGNATURE POUR SURFACE PRO 8 & 9 - AVEC STYLET SLIM PEN 2 - OR...","64 000","DA","Hussein dey, 16","il y a environ 12 heures","ADMIN Informatique","Paiement à la livraison"
"Graveur DVD HP Serveur DL380 kit","23 900","DA","Hussein dey, 16","il y a environ 12 heures","ADMIN Informatique","Paiement à la livraison"
"Batterie onduleur 12v 5ah / 12Ah","2 400","DA","Dar el beida, 16","il y a 2 jours","",""
"Cd Dvd","","","Alger centre, 16","il y a 2 jours","",""
"Switche Cisco 48 Ports Poe (2 Port SFP 10 Giga + 2 Port SFP 01 Giga + Niveau 3)","","","Tipaza, 42","il y a environ 12 heures","NSIcontact",""
"LAPTOP ASUS X415EP-EK373W I7-1165G7/DDR4 8GB/SSD 512GB/VGA MX330 2GB/14""/WIN11","","","Cheraga, 16","il y a environ 12 heures","IFTA COMPUTER",""
"Mini Clavier Ergonomique Sans Fil Avec Touchpad Pour Smart TV","2 800","DA","Bab ezzouar, 16","il y a environ 12 heures","Sery","Paiement à la livraison"
"canon imprimante CANON i-SENSYS MF 552dw photocopieur Noir et Blanc wifi","126 000","DA","Bab ezzouar, 16","il y a environ 12 heures","Oceanic computer","Paiement à la livraison"
