"Product Name","Price","Unity","Location","Time","Store Name"
"DELL VOSTRO 3520 I5 12th 16GB 512GB SSD 15'' FHD NEUF","115 000","DA","Bab ezzouar, 16","il y a environ 5 heures","TRETEC"
"DELL LATITUDE 5520 I5 11th 16GB 512GB 15.6"" FHD","165 000","DA","Bab ezzouar, 16","il y a environ 5 heures","TRETEC"
"REFROIDESSEUR COOLER MASTER LIQUID MAKER92","8 500","DA","Bordj bou arreridj, 34","il y a environ 5 heures","CompuNerds"
"Licence & Abonnement Microsoft Windows/office/365/serveur/Powerbi...","5 000","DA","Said hamdine, 16","il y a environ 11 heures",""
"MSI RAIDER GE76 RTX 3080Ti 16Go GDDR6 /32Go / 17.3"" FHD 360Hz 2ans Garantie","1","DA","Blida, 9","il y a environ 11 heures",""
"IMPRIMANTE CANON MF 754CDW LASER COULEUR","98 000","DA","Draria, 16","il y a environ 5 heures","DIGITAL WORLD TECHNOLOGY"
"RTX 4090 ASUS TUF GAMING TRIO 24GB GDDR6X","439 900","DA","Oran, 31","il y a environ 5 heures","CLICK INFORMATIQUE ORAN"
"INTEL 1700 I7 12700 12 COEURS 20 THREADS 4.9GHZ 25MO CACHE 65W TRAY","65 900","DA","Oran, 31","il y a environ 5 heures","CLICK INFORMATIQUE ORAN"
"ECRAN MATOS MSG242 165HZ 1MS FHD IPS","39 500","DA","Ouled yaich, 9","il y a environ 5 heures","Blida Computer & newmob office"
"Ecran PC - LG - 27MK430H - 27"" FHD - Dalle IPS - 5 ms - 75 Hz - HDMI / VGA - AMD...","42 800","DA","Ouled yaich, 9","il y a environ 5 heures","Blida Computer & newmob office"
"Pc Aocwei ordinateur portable sous blisters et européen","","","Tlemcen, 13","il y a environ 12 heures",""
"liquidation  Toner HP 507 ORIGINAL. 4 colors","30 000","DA","Alger centre, 16","il y a environ 12 heures",""
"RAM HYPER X FURY 2x8GB 3200MHZ DDR4","11 500","DA","Bab ezzouar, 16","il y a environ 5 heures","GAMING ONE"
"imprimante a badge","200 000","DA","Cheraga, 16","il y a environ 5 heures","GEP TECHNOLOGIES"
"Panneau de Brassage 48-ports 1U D-Link NPP-C62BLK248","24 500","DA","Bejaia, 6","il y a environ 5 heures","Capmicrodz"
"DELL LATITUDE 3420 CORE I7-1165G7 / 8GB / 256 SSD / 14"" / WIN 10 PRO","146 900","DA","Hussein dey, 16","il y a environ 5 heures","AD TECH"
"ECRAN ASUS VG278QR 27"" LED GAMING FHD/2HDMI 0.5ms 165 Hz","63 900","DA","Hussein dey, 16","il y a environ 5 heures","AD TECH"
"HP 15 S","109 000","DA","Tizi ouzou, 15","il y a environ 12 heures",""
"Ram 32gb 6400mhz ddr5 teamgroup argb","25 900","DA","Souk naamane, 4","il y a environ 12 heures",""
"ECRAN ASUS VG245Q 24"" LED GAMING FHD DVI/HDMI 75Hz/1MS","37 500","DA","Hussein dey, 16","il y a environ 5 heures","AD TECH"
"ECRAN ASUS VZ24EHE 23.8"" / FHD IPS 1Ms / 75Hz /Ultra- Slim/Adaptive-Sync","28 900","DA","Hussein dey, 16","il y a environ 5 heures","AD TECH"
"LAPTOP ASUS P1412CE INTEL I3-11EME GEN 8GO NVME 256GO 14 FHD","79 900","DA","Hussein dey, 16","il y a environ 5 heures","AD TECH"
"LENOVO 500E CHROMEBOOK GEN3 INTEL N4500 4GB/32GB EMMC / 11.6"" HD TACTILE","44 900","DA","Hussein dey, 16","il y a environ 5 heures","AD TECH"
"LENOVO 100E GEN2 INTEL N4120 4GB/128GB SSD / 11.6"" HD / WIN 10 PRO","46 900","DA","Hussein dey, 16","il y a environ 5 heures","AD TECH"
"HP ELITEBOOK 840 G10 I5 VPRO 1345U 16GO 512GO SSD TACTILE NEUF","138 000","DA","Alger centre, 16","il y a environ 5 heures","ORANGE HASSIBA"
"Control d'accés empreinte Digital Réf: MA300 ZKteco","","","Dar el beida, 16","il y a environ 5 heures","BROAD TECHNOLOGY"
"BATIBOX CL SECH  LEGRAND","","","Dar el beida, 16","il y a environ 5 heures","BROAD TECHNOLOGY"
"Switch 24 Ports Gigabit Rackmount Réf: TL-SG1024D TP-LINK","","","Dar el beida, 16","il y a environ 5 heures","BROAD TECHNOLOGY"
"MSW nevoswitch Alimentation","7 750","DA","Staoueli, 16","il y a environ 5 heures","GS ICT Store"
"Jarretière Fibre Optique Single-Mode Multi-Mode","800","DA","Bejaia, 6","il y a environ 5 heures","Global Network's"
